Data,Produto,Categoria,Cliente,Quantidade Vendida,Estoque Atual,Preço Unitário,Localização
2025-01-01,Camisa Corporativa,Corporativo,Colégio Alfa,41,402,99.9,Ilhéus
2025-01-02,Camisa Corporativa,Corporativo,Colégio Beta,36,366,99.9,Lauro de Freitas
2025-01-03,Jaleco Hospitalar,Hospitalar,Empresa Beta,19,481,129.9,Jequié
2025-01-04,Macacão Industrial,Industrial,Indústria Y,21,193,149.9,Vitória da Conquista
2025-01-05,Macacão Industrial,Industrial,Indústria Y,48,145,149.9,Camaçari
2025-01-06,Uniforme Escolar,Escolar,Hospital Vida,20,226,89.9,Salvador
2025-01-07,Uniforme Escolar,Escolar,Colégio Beta,16,210,89.9,Lauro de Freitas
2025-01-08,Jaleco Hospitalar,Hospitalar,Empresa Beta,40,441,129.9,Lauro de Freitas
2025-01-09,Camisa Corporativa,Corporativo,Hospital Saúde+,9,357,99.9,Camaçari
2025-01-10,Uniforme Escolar,Escolar,Empresa Gama,7,203,89.9,Itabuna
2025-01-11,Macacão Industrial,Industrial,Hospital Saúde+,38,107,149.9,Vitória da Conquista
2025-01-12,Macacão Industrial,Industrial,Indústria Y,31,76,149.9,Lauro de Freitas
2025-01-13,Uniforme Escolar,Escolar,Hospital Vida,31,172,89.9,Vitória da Conquista
2025-01-14,Uniforme Escolar,Escolar,Colégio Alfa,35,137,89.9,Salvador
2025-01-15,Macacão Industrial,Industrial,Colégio Beta,30,46,149.9,Lauro de Freitas
2025-01-16,Jaleco Hospitalar,Hospitalar,Colégio Beta,49,392,129.9,Salvador
2025-01-17,Camisa Corporativa,Corporativo,Indústria Y,39,318,99.9,Ilhéus
2025-01-18,Jaleco Hospitalar,Hospitalar,Colégio Delta,26,366,129.9,Jequié
2025-01-19,Macacão Industrial,Industrial,Colégio Alfa,35,11,149.9,Ilhéus
2025-01-20,Uniforme Escolar,Escolar,Colégio Alfa,49,88,89.9,Camaçari
2025-01-21,Camisa Corporativa,Corporativo,Hospital Vida,39,279,99.9,Camaçari
2025-01-22,Camisa Corporativa,Corporativo,Empresa Gama,33,246,99.9,Camaçari
2025-01-23,Camisa Corporativa,Corporativo,Hospital Vida,7,239,99.9,Camaçari
2025-01-24,Macacão Industrial,Industrial,Empresa Gama,18,419,149.9,Salvador
2025-01-25,Jaleco Hospitalar,Hospitalar,Hospital Vida,29,337,129.9,Itabuna
2025-01-26,Jaleco Hospitalar,Hospitalar,Hospital Saúde+,20,317,129.9,Vitória da Conquista
2025-01-27,Camisa Corporativa,Corporativo,Colégio Alfa,43,196,99.9,Ilhéus
2025-01-28,Camisa Corporativa,Corporativo,Hospital Vida,13,183,99.9,Vitória da Conquista
2025-01-29,Macacão Industrial,Industrial,Colégio Alfa,47,372,149.9,Camaçari
2025-01-30,Camisa Corporativa,Corporativo,Empresa Beta,33,150,99.9,Salvador
2025-01-31,Macacão Industrial,Industrial,Empresa Gama,19,353,149.9,Camaçari
2025-02-01,Macacão Industrial,Industrial,Empresa Gama,17,336,149.9,Feira de Santana
2025-02-02,Uniforme Escolar,Escolar,Colégio Alfa,26,62,89.9,Itabuna
2025-02-03,Uniforme Escolar,Escolar,Colégio Beta,36,26,89.9,Ilhéus
2025-02-04,Uniforme Escolar,Escolar,Hospital Vida,44,470,89.9,Jequié
2025-02-05,Uniforme Escolar,Escolar,Colégio Alfa,21,449,89.9,Jequié
2025-02-06,Camisa Corporativa,Corporativo,Empresa Beta,26,124,99.9,Lauro de Freitas
2025-02-07,Macacão Industrial,Industrial,Hospital Vida,16,320,149.9,Camaçari
2025-02-08,Jaleco Hospitalar,Hospitalar,Empresa Beta,42,275,129.9,Lauro de Freitas
2025-02-09,Macacão Industrial,Industrial,Indústria Y,9,311,149.9,Jequié
2025-02-10,Uniforme Escolar,Escolar,Empresa Beta,17,432,89.9,Feira de Santana
2025-02-11,Macacão Industrial,Industrial,Colégio Beta,22,289,149.9,Feira de Santana
2025-02-12,Uniforme Escolar,Escolar,Indústria X,10,422,89.9,Jequié
2025-02-13,Uniforme Escolar,Escolar,Colégio Delta,24,398,89.9,Itabuna
2025-02-14,Uniforme Escolar,Escolar,Hospital Saúde+,18,380,89.9,Jequié
2025-02-15,Camisa Corporativa,Corporativo,Colégio Beta,34,90,99.9,Ilhéus
2025-02-16,Jaleco Hospitalar,Hospitalar,Indústria X,48,227,129.9,Ilhéus
2025-02-17,Jaleco Hospitalar,Hospitalar,Empresa Gama,25,202,129.9,Camaçari
2025-02-18,Macacão Industrial,Industrial,Indústria Y,44,245,149.9,Jequié
2025-02-19,Uniforme Escolar,Escolar,Empresa Beta,49,331,89.9,Ilhéus
2025-02-20,Camisa Corporativa,Corporativo,Colégio Beta,18,72,99.9,Feira de Santana
2025-02-21,Camisa Corporativa,Corporativo,Indústria X,35,37,99.9,Salvador
2025-02-22,Jaleco Hospitalar,Hospitalar,Hospital Vida,42,160,129.9,Ilhéus
2025-02-23,Macacão Industrial,Industrial,Indústria Y,36,209,149.9,Feira de Santana
2025-02-24,Uniforme Escolar,Escolar,Colégio Beta,33,298,89.9,Salvador
2025-02-25,Macacão Industrial,Industrial,Colégio Alfa,28,181,149.9,Ilhéus
2025-02-26,Camisa Corporativa,Corporativo,Indústria X,29,8,99.9,Camaçari
2025-02-27,Macacão Industrial,Industrial,Colégio Delta,30,151,149.9,Camaçari
2025-02-28,Macacão Industrial,Industrial,Colégio Delta,35,116,149.9,Lauro de Freitas
2025-03-01,Uniforme Escolar,Escolar,Colégio Delta,45,253,89.9,Camaçari
2025-03-02,Uniforme Escolar,Escolar,Indústria Y,36,217,89.9,Itabuna
2025-03-03,Uniforme Escolar,Escolar,Empresa Beta,6,211,89.9,Vitória da Conquista
2025-03-04,Uniforme Escolar,Escolar,Colégio Alfa,29,182,89.9,Itabuna
2025-03-05,Jaleco Hospitalar,Hospitalar,Indústria Y,24,136,129.9,Lauro de Freitas
2025-03-06,Uniforme Escolar,Escolar,Colégio Alfa,43,139,89.9,Lauro de Freitas
2025-03-07,Macacão Industrial,Industrial,Colégio Delta,6,110,149.9,Ilhéus
2025-03-08,Macacão Industrial,Industrial,Indústria Y,9,101,149.9,Feira de Santana
2025-03-09,Jaleco Hospitalar,Hospitalar,Empresa Beta,5,131,129.9,Ilhéus
2025-03-10,Jaleco Hospitalar,Hospitalar,Empresa Gama,24,107,129.9,Ilhéus
2025-03-11,Macacão Industrial,Industrial,Empresa Gama,17,84,149.9,Itabuna
2025-03-12,Jaleco Hospitalar,Hospitalar,Hospital Saúde+,20,87,129.9,Itabuna
2025-03-13,Uniforme Escolar,Escolar,Empresa Gama,37,102,89.9,Jequié
2025-03-14,Jaleco Hospitalar,Hospitalar,Colégio Beta,22,65,129.9,Jequié
2025-03-15,Camisa Corporativa,Corporativo,Hospital Saúde+,43,342,99.9,Camaçari
2025-03-16,Macacão Industrial,Industrial,Colégio Delta,27,57,149.9,Itabuna
2025-03-17,Macacão Industrial,Industrial,Hospital Saúde+,11,46,149.9,Jequié
2025-03-18,Jaleco Hospitalar,Hospitalar,Empresa Beta,23,42,129.9,Jequié
2025-03-19,Macacão Industrial,Industrial,Hospital Saúde+,16,30,149.9,Vitória da Conquista
2025-03-20,Jaleco Hospitalar,Hospitalar,Empresa Gama,48,473,129.9,Lauro de Freitas
2025-03-21,Macacão Industrial,Industrial,Hospital Vida,14,16,149.9,Jequié
2025-03-22,Uniforme Escolar,Escolar,Indústria X,40,62,89.9,Jequié
2025-03-23,Uniforme Escolar,Escolar,Empresa Gama,21,41,89.9,Camaçari
2025-03-24,Camisa Corporativa,Corporativo,Colégio Delta,38,304,99.9,Ilhéus
2025-03-25,Camisa Corporativa,Corporativo,Colégio Delta,29,275,99.9,Itabuna
2025-03-26,Camisa Corporativa,Corporativo,Hospital Saúde+,33,242,99.9,Ilhéus
2025-03-27,Uniforme Escolar,Escolar,Indústria Y,10,31,89.9,Ilhéus
2025-03-28,Jaleco Hospitalar,Hospitalar,Indústria X,21,452,129.9,Feira de Santana
2025-03-29,Macacão Industrial,Industrial,Empresa Beta,35,369,149.9,Jequié
2025-03-30,Macacão Industrial,Industrial,Indústria X,25,344,149.9,Itabuna
2025-03-31,Jaleco Hospitalar,Hospitalar,Empresa Gama,48,404,129.9,Ilhéus
2025-04-01,Uniforme Escolar,Escolar,Indústria Y,20,11,89.9,Itabuna
2025-04-02,Macacão Industrial,Industrial,Indústria Y,39,305,149.9,Ilhéus
2025-04-03,Camisa Corporativa,Corporativo,Colégio Alfa,48,194,99.9,Salvador
2025-04-04,Jaleco Hospitalar,Hospitalar,Indústria X,31,373,129.9,Salvador
2025-04-05,Camisa Corporativa,Corporativo,Indústria X,24,170,99.9,Ilhéus
2025-04-06,Uniforme Escolar,Escolar,Colégio Beta,12,317,89.9,Itabuna
2025-04-07,Uniforme Escolar,Escolar,Indústria Y,9,308,89.9,Ilhéus
2025-04-08,Camisa Corporativa,Corporativo,Hospital Saúde+,44,126,99.9,Salvador
2025-04-09,Macacão Industrial,Industrial,Colégio Alfa,35,270,149.9,Jequié
2025-04-10,Macacão Industrial,Industrial,Empresa Gama,37,233,149.9,Lauro de Freitas
2025-04-11,Camisa Corporativa,Corporativo,Empresa Gama,46,80,99.9,Lauro de Freitas
2025-04-12,Camisa Corporativa,Corporativo,Empresa Gama,19,61,99.9,Ilhéus
2025-04-13,Camisa Corporativa,Corporativo,Colégio Delta,50,11,99.9,Feira de Santana
2025-04-14,Uniforme Escolar,Escolar,Empresa Beta,16,292,89.9,Camaçari
2025-04-15,Uniforme Escolar,Escolar,Indústria Y,6,286,89.9,Ilhéus
2025-04-16,Macacão Industrial,Industrial,Indústria X,17,216,149.9,Itabuna
2025-04-17,Uniforme Escolar,Escolar,Indústria X,32,254,89.9,Feira de Santana
2025-04-18,Camisa Corporativa,Corporativo,Empresa Beta,41,442,99.9,Itabuna
2025-04-19,Jaleco Hospitalar,Hospitalar,Hospital Vida,42,331,129.9,Jequié
2025-04-20,Uniforme Escolar,Escolar,Empresa Beta,20,234,89.9,Salvador
2025-04-21,Uniforme Escolar,Escolar,Hospital Saúde+,21,213,89.9,Camaçari
2025-04-22,Uniforme Escolar,Escolar,Hospital Saúde+,14,199,89.9,Jequié
2025-04-23,Uniforme Escolar,Escolar,Colégio Beta,15,184,89.9,Vitória da Conquista
2025-04-24,Jaleco Hospitalar,Hospitalar,Colégio Delta,46,285,129.9,Itabuna
2025-04-25,Jaleco Hospitalar,Hospitalar,Empresa Gama,29,256,129.9,Itabuna
2025-04-26,Uniforme Escolar,Escolar,Hospital Saúde+,47,137,89.9,Lauro de Freitas
2025-04-27,Macacão Industrial,Industrial,Colégio Delta,36,180,149.9,Lauro de Freitas
2025-04-28,Macacão Industrial,Industrial,Empresa Beta,50,130,149.9,Feira de Santana
2025-04-29,Jaleco Hospitalar,Hospitalar,Indústria Y,15,241,129.9,Salvador
2025-04-30,Jaleco Hospitalar,Hospitalar,Colégio Alfa,41,200,129.9,Camaçari
2025-05-01,Macacão Industrial,Industrial,Hospital Vida,20,110,149.9,Lauro de Freitas
2025-05-02,Uniforme Escolar,Escolar,Empresa Beta,40,97,89.9,Feira de Santana
2025-05-03,Jaleco Hospitalar,Hospitalar,Colégio Beta,12,188,129.9,Salvador
2025-05-04,Jaleco Hospitalar,Hospitalar,Colégio Alfa,49,139,129.9,Jequié
2025-05-05,Uniforme Escolar,Escolar,Hospital Saúde+,12,85,89.9,Camaçari
2025-05-06,Macacão Industrial,Industrial,Colégio Alfa,42,68,149.9,Vitória da Conquista
2025-05-07,Jaleco Hospitalar,Hospitalar,Empresa Beta,45,94,129.9,Feira de Santana
2025-05-08,Camisa Corporativa,Corporativo,Empresa Beta,41,401,99.9,Lauro de Freitas
2025-05-09,Macacão Industrial,Industrial,Hospital Vida,44,24,149.9,Feira de Santana
2025-05-10,Macacão Industrial,Industrial,Indústria X,36,363,149.9,Jequié
2025-05-11,Uniforme Escolar,Escolar,Colégio Beta,9,76,89.9,Camaçari
2025-05-12,Camisa Corporativa,Corporativo,Indústria X,21,380,99.9,Camaçari
2025-05-13,Camisa Corporativa,Corporativo,Empresa Gama,9,371,99.9,Vitória da Conquista
2025-05-14,Uniforme Escolar,Escolar,Hospital Saúde+,19,57,89.9,Jequié
2025-05-15,Camisa Corporativa,Corporativo,Hospital Vida,16,355,99.9,Camaçari
2025-05-16,Jaleco Hospitalar,Hospitalar,Hospital Saúde+,37,57,129.9,Feira de Santana
2025-05-17,Uniforme Escolar,Escolar,Indústria X,21,36,89.9,Salvador
2025-05-18,Uniforme Escolar,Escolar,Empresa Beta,7,29,89.9,Jequié
2025-05-19,Camisa Corporativa,Corporativo,Colégio Beta,21,334,99.9,Itabuna
2025-05-20,Jaleco Hospitalar,Hospitalar,Colégio Alfa,29,28,129.9,Itabuna
2025-05-21,Jaleco Hospitalar,Hospitalar,Empresa Beta,23,5,129.9,Jequié
2025-05-22,Camisa Corporativa,Corporativo,Colégio Beta,20,314,99.9,Feira de Santana
2025-05-23,Camisa Corporativa,Corporativo,Indústria X,16,298,99.9,Ilhéus
2025-05-24,Jaleco Hospitalar,Hospitalar,Colégio Beta,6,266,129.9,Ilhéus
2025-05-25,Uniforme Escolar,Escolar,Hospital Vida,9,20,89.9,Feira de Santana
2025-05-26,Uniforme Escolar,Escolar,Colégio Delta,45,472,89.9,Lauro de Freitas
2025-05-27,Jaleco Hospitalar,Hospitalar,Hospital Vida,50,216,129.9,Camaçari
2025-05-28,Camisa Corporativa,Corporativo,Indústria Y,31,267,99.9,Itabuna
2025-05-29,Jaleco Hospitalar,Hospitalar,Indústria Y,23,193,129.9,Feira de Santana
2025-05-30,Macacão Industrial,Industrial,Colégio Beta,25,338,149.9,Vitória da Conquista
2025-05-31,Uniforme Escolar,Escolar,Indústria Y,5,467,89.9,Itabuna
2025-06-01,Uniforme Escolar,Escolar,Hospital Vida,42,425,89.9,Ilhéus
2025-06-02,Camisa Corporativa,Corporativo,Empresa Beta,15,252,99.9,Vitória da Conquista
2025-06-03,Macacão Industrial,Industrial,Empresa Gama,13,325,149.9,Itabuna
2025-06-04,Camisa Corporativa,Corporativo,Colégio Alfa,18,234,99.9,Jequié
2025-06-05,Camisa Corporativa,Corporativo,Hospital Saúde+,40,194,99.9,Feira de Santana
2025-06-06,Uniforme Escolar,Escolar,Colégio Alfa,13,412,89.9,Vitória da Conquista
2025-06-07,Macacão Industrial,Industrial,Hospital Vida,6,319,149.9,Vitória da Conquista
2025-06-08,Jaleco Hospitalar,Hospitalar,Hospital Vida,48,145,129.9,Feira de Santana
2025-06-09,Camisa Corporativa,Corporativo,Indústria X,21,173,99.9,Jequié
2025-06-10,Camisa Corporativa,Corporativo,Empresa Gama,26,147,99.9,Ilhéus
2025-06-11,Camisa Corporativa,Corporativo,Indústria Y,5,142,99.9,Salvador
2025-06-12,Camisa Corporativa,Corporativo,Indústria X,9,133,99.9,Jequié
2025-06-13,Camisa Corporativa,Corporativo,Colégio Alfa,17,116,99.9,Camaçari
2025-06-14,Jaleco Hospitalar,Hospitalar,Colégio Alfa,43,102,129.9,Jequié
2025-06-15,Macacão Industrial,Industrial,Colégio Delta,29,290,149.9,Salvador
2025-06-16,Jaleco Hospitalar,Hospitalar,Hospital Vida,19,83,129.9,Jequié
2025-06-17,Uniforme Escolar,Escolar,Hospital Saúde+,21,391,89.9,Salvador
2025-06-18,Macacão Industrial,Industrial,Colégio Delta,20,270,149.9,Itabuna
2025-06-19,Camisa Corporativa,Corporativo,Empresa Beta,30,86,99.9,Lauro de Freitas
2025-06-20,Jaleco Hospitalar,Hospitalar,Empresa Gama,5,78,129.9,Lauro de Freitas
2025-06-21,Macacão Industrial,Industrial,Empresa Gama,33,237,149.9,Lauro de Freitas
2025-06-22,Uniforme Escolar,Escolar,Empresa Gama,7,384,89.9,Salvador
2025-06-23,Uniforme Escolar,Escolar,Colégio Beta,5,379,89.9,Salvador
2025-06-24,Jaleco Hospitalar,Hospitalar,Colégio Alfa,25,53,129.9,Camaçari
2025-06-25,Uniforme Escolar,Escolar,Hospital Vida,35,344,89.9,Ilhéus
2025-06-26,Uniforme Escolar,Escolar,Empresa Gama,19,325,89.9,Ilhéus
2025-06-27,Jaleco Hospitalar,Hospitalar,Colégio Delta,50,3,129.9,Lauro de Freitas
2025-06-28,Camisa Corporativa,Corporativo,Colégio Beta,24,62,99.9,Lauro de Freitas
2025-06-29,Camisa Corporativa,Corporativo,Colégio Beta,36,26,99.9,Itabuna
2025-06-30,Jaleco Hospitalar,Hospitalar,Colégio Delta,47,246,129.9,Itabuna
2025-07-01,Macacão Industrial,Industrial,Hospital Saúde+,50,187,149.9,Ilhéus
2025-07-02,Macacão Industrial,Industrial,Colégio Delta,49,138,149.9,Ilhéus
2025-07-03,Camisa Corporativa,Corporativo,Colégio Beta,49,296,99.9,Camaçari
2025-07-04,Jaleco Hospitalar,Hospitalar,Colégio Alfa,30,216,129.9,Vitória da Conquista
2025-07-05,Camisa Corporativa,Corporativo,Colégio Beta,17,279,99.9,Ilhéus
2025-07-06,Jaleco Hospitalar,Hospitalar,Indústria X,40,176,129.9,Lauro de Freitas
2025-07-07,Uniforme Escolar,Escolar,Empresa Beta,18,307,89.9,Salvador
2025-07-08,Macacão Industrial,Industrial,Colégio Alfa,10,128,149.9,Feira de Santana
2025-07-09,Camisa Corporativa,Corporativo,Colégio Beta,18,261,99.9,Camaçari
2025-07-10,Uniforme Escolar,Escolar,Indústria Y,14,293,89.9,Camaçari
2025-07-11,Uniforme Escolar,Escolar,Indústria X,14,279,89.9,Vitória da Conquista
2025-07-12,Jaleco Hospitalar,Hospitalar,Colégio Beta,35,141,129.9,Vitória da Conquista
2025-07-13,Jaleco Hospitalar,Hospitalar,Indústria Y,12,129,129.9,Vitória da Conquista
2025-07-14,Macacão Industrial,Industrial,Empresa Gama,10,118,149.9,Lauro de Freitas
2025-07-15,Uniforme Escolar,Escolar,Colégio Beta,29,250,89.9,Lauro de Freitas
2025-07-16,Macacão Industrial,Industrial,Empresa Gama,27,91,149.9,Jequié
2025-07-17,Camisa Corporativa,Corporativo,Colégio Alfa,48,213,99.9,Feira de Santana
2025-07-18,Jaleco Hospitalar,Hospitalar,Indústria Y,27,102,129.9,Vitória da Conquista
2025-07-19,Camisa Corporativa,Corporativo,Hospital Saúde+,25,188,99.9,Itabuna
2025-07-20,Jaleco Hospitalar,Hospitalar,Hospital Vida,9,93,129.9,Camaçari
2025-07-21,Jaleco Hospitalar,Hospitalar,Empresa Gama,15,78,129.9,Salvador
2025-07-22,Uniforme Escolar,Escolar,Indústria Y,17,233,89.9,Lauro de Freitas
2025-07-23,Macacão Industrial,Industrial,Hospital Saúde+,19,72,149.9,Jequié
2025-07-24,Uniforme Escolar,Escolar,Indústria Y,43,190,89.9,Camaçari
2025-07-25,Uniforme Escolar,Escolar,Colégio Alfa,45,145,89.9,Lauro de Freitas
2025-07-26,Camisa Corporativa,Corporativo,Hospital Vida,43,145,99.9,Vitória da Conquista
2025-07-27,Camisa Corporativa,Corporativo,Hospital Saúde+,23,122,99.9,Vitória da Conquista
2025-07-28,Jaleco Hospitalar,Hospitalar,Colégio Alfa,44,34,129.9,Jequié
2025-07-29,Macacão Industrial,Industrial,Empresa Beta,21,51,149.9,Camaçari
2025-07-30,Camisa Corporativa,Corporativo,Empresa Gama,16,106,99.9,Camaçari
2025-07-31,Uniforme Escolar,Escolar,Colégio Alfa,33,112,89.9,Itabuna
2025-08-01,Macacão Industrial,Industrial,Indústria X,49,2,149.9,Feira de Santana
2025-08-02,Uniforme Escolar,Escolar,Empresa Beta,9,103,89.9,Jequié
2025-08-03,Jaleco Hospitalar,Hospitalar,Indústria X,47,223,129.9,Vitória da Conquista
2025-08-04,Uniforme Escolar,Escolar,Hospital Vida,6,97,89.9,Lauro de Freitas
2025-08-05,Camisa Corporativa,Corporativo,Empresa Gama,28,78,99.9,Feira de Santana
2025-08-06,Macacão Industrial,Industrial,Colégio Alfa,30,407,149.9,Lauro de Freitas
2025-08-07,Macacão Industrial,Industrial,Indústria Y,7,400,149.9,Camaçari
2025-08-08,Jaleco Hospitalar,Hospitalar,Colégio Beta,29,194,129.9,Ilhéus
2025-08-09,Jaleco Hospitalar,Hospitalar,Colégio Alfa,49,145,129.9,Lauro de Freitas
2025-08-10,Jaleco Hospitalar,Hospitalar,Colégio Alfa,47,98,129.9,Salvador
2025-08-11,Uniforme Escolar,Escolar,Colégio Beta,32,65,89.9,Camaçari
2025-08-12,Jaleco Hospitalar,Hospitalar,Colégio Delta,14,84,129.9,Ilhéus
2025-08-13,Camisa Corporativa,Corporativo,Hospital Saúde+,48,30,99.9,Ilhéus
